ORDEN,LOTE,CANTIDAD_ENTREGADA
200178572,23019,13.8
200179217,23020,13.6
200181620,23021,13.5
200182428,23022,13.8
200182429,23023,13.7
200182430,23024,13.7
200182431,23025,13.7
200182432,23026,13.8
200182433,23027,13.7
200182434,23028,13.7
200182435,23029,13.7
200182436,23030,13.9
200182437,23031,13.8
200182440,23032,13.7
200182441,23033,13.8
200182442,23034,13.8
200182443,23035,13.8
200182444,23036,13.7
200185569,23038,14.0
200185570,23039,13.7
200182445,23040,13.8
200184533,23041,13.8
200184534,23042,13.7
200184603,23043,13.7
200184604,23044,13.7
200184605,23045,13.8
200184606,23046,0.0
200184607,23047,0.0
200184609,23048,13.8
200184610,23049,13.7
200184611,23050,13.8
200184612,23051,13.7
200187023,23053,13.8
200187024,23054,13.7
200187025,23055,13.7
200182448,23057,13.7
200187026,23056,13.7
200182446,23061,13.7
200187027,23060,13.9
200187028,23063,13.7
200187029,23064,13.8
200187030,23065,13.8
10005176,23273,13.8
200187032,23067,13.8
200187033,23068,13.8
200188840,23069,13.7
200188841,23070,13.6
200188842,23071,13.8
200188843,23072,13.8
200188844,23073,13.9
200188846,23075,13.9
200188847,23076,13.8
200188848,23077,13.7
200188849,23078,13.7
200188850,23079,13.8
200188851,23080,13.7
200191079,23082,13.7
200191080,23083,13.6
200191081,23084,13.8
200191078,23081,13.8
200191082,23085,13.9
200191083,23086,14.0
200191084,23087,13.8
200191085,23088,13.7
200191086,23089,13.7
200191087,23090,13.7
200191088,23091,13.8
200191385,23092,13.8
200191090,23093,13.7
200191386,23094,13.7
200191387,23095,13.7
200191388,23096,13.3
200191389,23097,13.5
200191390,23098,13.8
200191391,23099,13.8
200191392,23100,13.7
200191393,23101,13.6
200191394,23102,13.6
200191395,23103,13.6
200191398,23106,13.7
200191399,23107,13.7
200191396,23105,13.7
200191397,23104,13.5
200191400,23108,13.6
200195712,23109,13.6
200195713,23110,13.7
200195717,23111,13.7
200195718,23112,13.7
200195909,23113,13.5
200195910,23114,13.6
200196317,23115,13.9
200196318,23116,13.8
200196400,23117,13.6
10005233,23121,13.6
200196401,23118,13.7
200196440,23119,13.6
200196441,23120,13.7
200196587,23122,13.6
200196590,23123,13.8
10005235,23126,13.6
10005236,23127,13.6
200196793,23124,13.7
200196794,23125,13.5
200196872,23130,13.6
200196875,23129,13.7
200196873,23134,13.4
200196877,23131,13.6
200197370,23135,13.8
200196876,23132,13.6
200196878,23133,13.7
200196879,23136,13.76
200196880,23137,13.75
200196881,23138,13.77
200196882,23139,13.72
200196887,24003,12.48
200196890,24004,13.69
200196891,24005,13.55
200196893,24007,13.68
200196894,24008,13.75
200196898,24010,13.66
200196905,24009,13.77
200196906,24011,13.82
200196888,24012,13.69
200196899,24014,13.55
200196907,24015,13.54
200196895,24016,13.72
200196896,24017,13.86
200196889,24020,13.63
200196902,24019,13.74
200196908,24021,13.54
200196903,24022,13.8
200196904,24023,13.77
200196897,24025,13.75
200199658,24027,13.6
200199659,24028,13.31
200200223,24031,13.7
200200226,24035,13.7
200200227,24036,13.74
200200228,24037,13.76
10005271,24038,13.89
200200231,24040,13.59
200200372,24041,13.81
200200373,24042,13.78
200200374,24045,13.71
200200387,24046,13.71
200200233,24044,13.75
200200380,24049,13.57
200200381,24050,13.63
200200378,24047,13.72
200200385,24051,13.83
200200386,24053,13.75
200200388,24052,13.78
200200376,24054,13.46
200200377,24055,13.69
200200382,24056,13.85
200202545,24057,13.53
200200371,24059,13.67
200200384,24058,13.57
200200375,24062,13.4
200202547,24060,13.48
200202548,24061,13.49
200200383,24063,13.67
200202551,24064,13.36
200202549,24065,13.54
200202550,24066,13.56
200200221,24068,13.46
200202552,24069,13.48
200202553,24067,13.61
200202554,24070,13.59
200202555,24071,13.57
200202557,24072,13.72
200202558,24073,13.72
200200230,24074,13.38
200203877,24075,13.64
200205527,24077,13.72
200205681,24078,13.49
200205528,24080,13.59
200205682,24079,13.6
200205533,24081,13.72
200205529,24082,13.78
200205530,24083,13.75
200203878,24084,13.83
200205531,24085,13.77
200205532,24086,13.67
200205683,24087,13.76
200205535,24088,13.67
200205536,24089,13.67
200205534,24090,13.73
200205524,24091,13.71
200205525,24092,13.56
200200229,24093,13.71
200200232,24094,13.76
200205678,24096,13.64
200205684,24095,13.65
200205685,24097,13.73
200205691,24098,13.65
200205693,24099,13.81
200205697,24100,13.48
200205690,24103,13.64
200205698,24101,13.63
200205692,24104,13.61
200205694,24105,13.82
200205686,24108,13.63
200205695,24106,13.69
200205696,24107,13.45
200205687,24109,11.35
200205688,24110,13.77
